project,option,vendor_raw,vendor_normalized,trade,source_type,source_path,locator,file_ext,file_size_bytes,status,notes,vendor_master_match,master_trade_section,match_type,match_score,needs_review,eml_from_email
C4WLS - St. Francis,unknown,IMG 6928,IMG 6928,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6928.HEIC,unindexed,.heic,2274341,unparsed,PHOTOS/IMG_6928.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6928,IMG 6928,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6928.HEIC,unindexed,.heic,2274341,unparsed,sub email/PHOTOS (1)/IMG_6928.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6929,IMG 6929,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6929.HEIC,unindexed,.heic,2121687,unparsed,PHOTOS/IMG_6929.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6929,IMG 6929,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6929.HEIC,unindexed,.heic,2121687,unparsed,sub email/PHOTOS (1)/IMG_6929.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6930,IMG 6930,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6930.HEIC,unindexed,.heic,2582396,unparsed,PHOTOS/IMG_6930.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6930,IMG 6930,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6930.HEIC,unindexed,.heic,2582396,unparsed,sub email/PHOTOS (1)/IMG_6930.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6931,IMG 6931,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6931.HEIC,unindexed,.heic,2909032,unparsed,PHOTOS/IMG_6931.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6931,IMG 6931,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6931.HEIC,unindexed,.heic,2909032,unparsed,sub email/PHOTOS (1)/IMG_6931.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6932,IMG 6932,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6932.HEIC,unindexed,.heic,2552422,unparsed,PHOTOS/IMG_6932.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6932,IMG 6932,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6932.HEIC,unindexed,.heic,2552422,unparsed,sub email/PHOTOS (1)/IMG_6932.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6933,IMG 6933,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6933.HEIC,unindexed,.heic,3208847,unparsed,PHOTOS/IMG_6933.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6933,IMG 6933,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6933.HEIC,unindexed,.heic,3208847,unparsed,sub email/PHOTOS (1)/IMG_6933.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6934,IMG 6934,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6934.HEIC,unindexed,.heic,2896867,unparsed,PHOTOS/IMG_6934.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6934,IMG 6934,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6934.HEIC,unindexed,.heic,2896867,unparsed,sub email/PHOTOS (1)/IMG_6934.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6935,IMG 6935,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6935.HEIC,unindexed,.heic,2961921,unparsed,PHOTOS/IMG_6935.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6935,IMG 6935,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6935.HEIC,unindexed,.heic,2961921,unparsed,sub email/PHOTOS (1)/IMG_6935.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6936,IMG 6936,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6936.HEIC,unindexed,.heic,4928205,unparsed,PHOTOS/IMG_6936.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6936,IMG 6936,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6936.HEIC,unindexed,.heic,4928205,unparsed,sub email/PHOTOS (1)/IMG_6936.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6937,IMG 6937,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6937.HEIC,unindexed,.heic,3075889,unparsed,PHOTOS/IMG_6937.HEIC,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 6937,IMG 6937,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6937.HEIC,unindexed,.heic,3075889,unparsed,sub email/PHOTOS (1)/IMG_6937.HEIC,Axiom D7,ROOFING,fuzzy,50,yes,
C4WLS - St. Francis,unknown,IMG 6938,IMG 6938,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6938.HEIC,unindexed,.heic,3171336,unparsed,PHOTOS/IMG_6938.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6938,IMG 6938,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6938.HEIC,unindexed,.heic,3171336,unparsed,sub email/PHOTOS (1)/IMG_6938.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6939,IMG 6939,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6939.HEIC,unindexed,.heic,2565781,unparsed,PHOTOS/IMG_6939.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6939,IMG 6939,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6939.HEIC,unindexed,.heic,2565781,unparsed,sub email/PHOTOS (1)/IMG_6939.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6940,IMG 6940,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6940.HEIC,unindexed,.heic,2931885,unparsed,PHOTOS/IMG_6940.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6940,IMG 6940,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6940.HEIC,unindexed,.heic,2931885,unparsed,sub email/PHOTOS (1)/IMG_6940.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6941,IMG 6941,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6941.HEIC,unindexed,.heic,2597373,unparsed,PHOTOS/IMG_6941.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6941,IMG 6941,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6941.HEIC,unindexed,.heic,2597373,unparsed,sub email/PHOTOS (1)/IMG_6941.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6942,IMG 6942,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6942.HEIC,unindexed,.heic,2347523,unparsed,PHOTOS/IMG_6942.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6942,IMG 6942,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6942.HEIC,unindexed,.heic,2347523,unparsed,sub email/PHOTOS (1)/IMG_6942.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6943,IMG 6943,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/PHOTOS/IMG_6943.HEIC,unindexed,.heic,2464216,unparsed,PHOTOS/IMG_6943.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,IMG 6943,IMG 6943,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/sub email/PHOTOS (1)/IMG_6943.HEIC,unindexed,.heic,2464216,unparsed,sub email/PHOTOS (1)/IMG_6943.HEIC,Axiom D7,ROOFING,fuzzy,38,yes,
C4WLS - St. Francis,unknown,Scope Details,Scope Details,unknown,other,/Volumes/TCL_DATA 1TB/TCL Partners Dropbox/TCL Partners Dropbox/TCL_Server/_Estimates/C4WLS  St. Francis/Scope Details.docx,unindexed,.docx,19582,unparsed,Scope Details.docx,Meyer Metals Inc,STEEL/TRUSSES,fuzzy,56,yes,
